symbol,take_profit,stop_loss,max_hold_bars,volume_ratio,rsi_max,total_trades,win_rate,total_return,mdd,pf,avg_hold_bars
KRW-AAVE,0.01,0.015,20,1.5,70,1652,40.6,-214.94,-89.69,0.755,16.5
KRW-AAVE,0.02,0.01,30,1.5,65,934,31.0,-141.85,-78.4,0.754,24.9
KRW-AAVE,0.02,0.008,50,1.2,70,1678,28.1,-283.38,-95.55,0.754,26.6
KRW-AAVE,0.005,0.005,50,2.0,65,747,47.7,-73.53,-54.24,0.754,8.1
KRW-AAVE,0.01,0.01,30,1.5,70,1627,41.9,-229.53,-91.2,0.754,17.6
KRW-AAVE,0.005,0.008,30,2.0,70,1329,54.0,-146.66,-78.41,0.754,10.4
KRW-AAVE,0.01,0.01,20,1.2,65,1175,39.0,-150.28,-79.93,0.753,14.9
KRW-AAVE,0.01,0.005,20,2.0,65,744,34.1,-83.39,-59.07,0.753,10.1
KRW-AAVE,0.01,0.005,10,2.0,65,755,33.9,-74.09,-55.83,0.753,7.8
KRW-AAVE,0.015,0.008,10,2.0,65,745,32.2,-79.13,-58.49,0.753,10.8
KRW-AAVE,0.005,0.01,20,1.5,70,1766,53.8,-192.16,-86.94,0.753,10.5
KRW-AAVE,0.01,0.008,50,1.5,70,1609,40.7,-237.07,-91.9,0.752,17.5
KRW-AAVE,0.015,0.008,50,1.5,70,1542,33.1,-251.32,-93.34,0.751,22.1
KRW-AAVE,0.02,0.008,50,1.5,70,1479,27.9,-252.0,-93.82,0.751,26.6
KRW-AAVE,0.01,0.008,50,1.5,65,957,40.3,-140.2,-77.55,0.75,18.6
KRW-AAVE,0.015,0.015,20,1.2,70,1840,34.3,-257.19,-93.72,0.75,19.4
KRW-AAVE,0.005,0.008,30,1.5,65,1004,53.2,-113.02,-70.14,0.749,11.0
KRW-AAVE,0.01,0.01,20,1.2,70,1936,38.9,-256.73,-93.26,0.748,14.6
KRW-AAVE,0.005,0.008,50,1.2,70,2011,55.2,-236.96,-91.8,0.747,11.1
KRW-AAVE,0.02,0.015,20,1.2,70,1777,30.6,-259.36,-93.9,0.747,22.4
KRW-AAVE,0.015,0.01,30,1.5,70,1576,34.6,-245.97,-92.99,0.746,21.2
KRW-AAVE,0.02,0.01,50,1.2,65,1053,30.6,-195.02,-88.06,0.746,31.8
KRW-AAVE,0.015,0.01,30,1.2,65,1120,34.7,-170.07,-83.72,0.746,21.8
KRW-AAVE,0.02,0.01,30,1.5,70,1519,30.4,-245.79,-93.04,0.745,24.8
KRW-AAVE,0.015,0.008,50,1.2,70,1756,33.1,-294.31,-95.75,0.745,22.2
KRW-AAVE,0.02,0.005,50,2.0,70,1236,22.7,-182.15,-86.26,0.744,19.5
KRW-AAVE,0.005,0.008,30,1.5,70,1757,53.8,-203.21,-88.2,0.744,10.3
KRW-AAVE,0.015,0.01,50,1.2,65,1085,35.6,-192.01,-87.26,0.743,27.4
KRW-AAVE,0.02,0.01,30,1.2,65,1095,30.9,-174.44,-84.55,0.743,25.0
KRW-AAVE,0.01,0.01,20,1.5,65,988,39.1,-130.53,-74.97,0.743,14.8
KRW-AAVE,0.015,0.008,30,2.0,70,1244,32.4,-189.53,-86.83,0.742,18.7
KRW-AAVE,0.02,0.005,10,2.0,65,745,26.6,-80.61,-59.38,0.742,11.2
KRW-AAVE,0.005,0.008,20,1.2,65,1214,50.7,-135.82,-76.35,0.742,9.7
KRW-AAVE,0.015,0.005,10,2.0,65,750,29.6,-79.55,-58.88,0.742,9.2
