symbol,take_profit,stop_loss,max_hold_bars,volume_ratio,rsi_max,total_trades,win_rate,total_return,mdd,pf,avg_hold_bars,asset,resample_min,saved_at
KRW-AAVE,0.015,0.01,50,1.5,65,919,35.7,-165.56,-82.89,0.737,27.4,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.008,20,2.0,70,1270,32.1,-180.59,-85.16,0.736,15.6,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.008,20,1.2,65,1184,37.4,-158.64,-81.52,0.736,13.4,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.005,50,2.0,70,1303,33.5,-176.07,-83.98,0.735,12.2,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.005,50,2.0,65,724,26.9,-105.43,-67.95,0.733,16.5,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.008,50,1.5,65,913,27.5,-168.02,-84.11,0.731,27.1,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.005,50,2.0,70,1269,26.9,-188.64,-86.6,0.731,15.8,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.01,20,1.5,65,960,30.0,-145.15,-78.98,0.73,20.2,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.008,30,1.2,70,1762,28.3,-293.72,-95.7,0.73,22.1,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.008,30,1.2,70,1829,32.4,-294.44,-95.65,0.73,18.8,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.008,10,1.5,65,993,25.4,-122.16,-74.48,0.729,16.6,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.01,10,2.0,70,1272,25.6,-159.93,-83.02,0.728,17.1,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.008,30,1.2,65,1134,32.9,-178.99,-85.08,0.728,19.2,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.008,20,2.0,70,1297,37.7,-182.77,-84.99,0.727,12.9,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.008,20,1.2,70,1740,24.7,-272.08,-95.11,0.727,23.0,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.01,20,1.5,70,1673,38.7,-242.79,-91.97,0.727,14.5,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.005,50,1.2,65,1198,33.3,-165.87,-83.53,0.726,12.8,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.008,50,1.2,65,1103,32.3,-196.88,-87.82,0.726,23.2,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.01,20,1.5,70,1630,32.8,-250.0,-93.04,0.725,17.2,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.01,20,1.2,70,1867,32.6,-286.77,-95.28,0.724,17.3,CRYPTO,5,2026-04-27 01:27:34
